indicator,indicator_code,location,location_code,period,value,value_numeric,value_ci,sex,residence,wealth_quintile
Number of under-five deaths,CM_01,Kenya,KEN,1981,42835,42 835,[39 918-45 728],Male,Total,Total
"Introduction of solid, semi-solid or soft foods 6-8 months",NUT_CF_ISSSF,Kenya,KEN,2008,85.1,85.1,[79.6-89.2],Total,Urban,Total
Healthy life expectancy (HALE) at birth (years),WHOSIS_000002,Kenya,KEN,2000,47.15358429,47.2,[46.3-48.1],Both sexes,Rural,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2012,13,13,,Number of health warnings approved by the law for other smoked tobacco packaging,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2005,9.6,9.6,[7.6-12.0],Male,Total,Total
"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",AIR_90,Kenya,KEN,2011,69.31,69,[14-169],Both sexes,Urban,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2016,9.889,10,[7-15],Female,Total,Total
Medical doctors (number),HWF_0002,Kenya,KEN,2021,5203,5203,,,Total,Total
"Prevalence of diabetes, crude",NCD_DIABETES_PREVALENCE_CRUDE,Kenya,KEN,1994,4.0082186,4.0,[1.3-8.8],Female,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2022,1.3,1.3,[0.6-3.1],42 to 47 months,Rural,Total
"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",NCDMORT3070,Kenya,KEN,2007,17.5,17.5,[12.3-24.3],Both sexes,Total,Total
"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",NCD_BMI_18C,Kenya,KEN,2012,12.579563,12.6,[10.5-14.9],Both sexes,Total,Total
Estimate of current tobacco smoking prevalence (%) (age-standardized rate),M_Est_smk_curr_std,Kenya,KEN,2022,0.8,0.8,[0.4-1.1],Female,Urban,Total
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),WHOSIS_000004,Kenya,KEN,2012,363.0439256,363,,Male,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2018,1.6512748,1.7,[1.2-2.3],Both sexes,Total,Total
"Alcohol, former drinkers (%), age-standardized",SA_0000001414,Kenya,KEN,2011,10.9881584,11.0,[10.0 - 12.1],Female,Urban,Total
"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS1C,Kenya,KEN,1991,6.6210628,6.6,[3.8-10.4],Female,Rural,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1995,0.02,0.02,,Wine,Total,Total
Tobacco Warning: W1a cigarette packaging health warnings,TOBACCO_MPOWER_W1A_CIGARETTES,Kenya,KEN,2016,40,40,,Percentage of principal display area mandated to be covered by health warnings - front and back of cigarette packaging,Total,Total
"Mean HDL cholesterol, crude",NCD_CHOL_MEANHDL_C,Kenya,KEN,1981,1.1,1.1,[0.9-1.3],Both sexes,Urban,Total
Ambient air pollution attributable deaths,AIR_41,Kenya,KEN,2017,13.672,14,[5-26],Female,Total,Total
Estimate of current cigarette smoking prevalence (%) (age-standardized rate),M_Est_cig_curr_std,Kenya,KEN,2015,0.5,0.5,[0.3-0.6],Female,Total,Total
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Kenya,KEN,2020,29.2,29.2,[13.7-49.1],Female,Urban,Total
Tobacco Enforce bans: E1 direct advertising,TOBACCO_MPOWER_E1_DIRECTADBANS,Kenya,KEN,2022,,Yes,,Ban on advertising on national television and radio,Rural,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2016,2.3,2.3,[1.9-2.8],Both sexes,Total,Total
Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),MDG_0000000001,Kenya,KEN,1955,138.4936087,138.5,[123.2-155.3],Female,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,1993,7.1,7.1,[6.3-8.1],Total,Urban,Total
Treatment success rate for patients treated for MDR-TB (%),TB_c_mdr_tsr,Kenya,KEN,2016,68,68,,,Total,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,2015,7.958750244,8.0,[5.5-11.0],Female,Total,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,2008,1828,1828,[906-2834],Female,Urban,Total
Tuberculosis treatment coverage,TB_1,Kenya,KEN,2006,45,45,[20-190],,Rural,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2008,0.30267441,0.3,[0.03 - 0.97],Rural,Total,Total
Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),NCD_PAC,Kenya,KEN,2019,6.9110036,6.9,[2.8-13.0],Male,Total,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1984,103.1452292,103.1,[96.1-110.5],Male,Urban,Total
Population with primary reliance on polluting fuels and technologies for cooking (in millions),PHE_HHAIR_POP_POLLUTING_FUELS,Kenya,KEN,2002,31.8140628,31.81,[30.08 - 32.5],Total,Total,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2022,,Yes,,Other smoked tobacco packaging and labelling must display qualitative information on emission yields,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2022,9.8,9.8,[9.2-10.5],Total,Urban,Total
Tobacco Warning: W1c smokeless tobacco packaging health warnings,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,Kenya,KEN,2018,30,30,,Percentage of principal display area mandated to be covered by health warnings - front of smokeless tobacco packaging,Rural,Total
Exclusive breastfeeding under six months,NUT_BF_EBF,Kenya,KEN,2008,31.9,31.9,[26.6-37.6],Both sexes,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2017,5.82448,5.8,,Both sexes,Total,Total
Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),GHED_PVT-DCHE_SHA2011,Kenya,KEN,2016,40.98427963,40.98,,,Urban,Total
Minimum Acceptable Diet 6-23 months,NUT_CF_MAD,Kenya,KEN,2014,33.2,33.2,[28.5-38.2],Wealth - Top 40%,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2017,,Yes,,Primary and secondary prevention of cancer,Total,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2019,131.863,132,[109-157],Male,Urban,Total
"Mean total cholesterol,  crude",NCD_CHOL_MEANTOTALCHOL_C,Kenya,KEN,2012,3.9,3.9,[3.7-4.1],Both sexes,Rural,Total
"Mean HDL cholesterol, crude",NCD_CHOL_MEANHDL_C,Kenya,KEN,2010,1.1,1.1,[1.0-1.2],Both sexes,Total,Total
"Tobacco MPOWER Protect people: P2 smoke-free places, additional characteristics",TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,Kenya,KEN,2018,,—,,Fines on the patrons of establishments for violations of smoke-free laws,Total,Total
"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",NCD_BMI_30C,Kenya,KEN,2012,6.820222,6.8,[6.1-7.6],Both sexes,Urban,Total
"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",TOBACCO_MPOWER_W2A_CIGARETTES,Kenya,KEN,2016,,Yes,,Health warnings on cigarette packaging describe the harmful effects of tobacco use on health,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2010,2.41312,2.4,,0-4 years of age,Total,Total
Tobacco Raise taxes: National taxes for tobacco and nicotine products,TOBACCO_MPOWER_R_TAX,Kenya,KEN,2012,0,0,,Taxes as a % of price: specific excise,Urban,Total
"Antenatal care attendees who were positive for syphilis (%), reported",PercposANC,Kenya,KEN,2013,1.23,1.23,,,Rural,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1977,115.7130165,115.7,[107.9-124.0],Female,Total,Total
Mortality rate attributed to unintentional poisoning (per 100 000 population),SDGPOISON,Kenya,KEN,2017,1.643841188,1.6,[1.1-2.4],Both sexes,Total,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,1992,5.136274124,5.1,[2.5-8.3],Female,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,1993,3.7,3.7,[2.1-6.4],18 to 23 months,Total,Total
Specialized treatment facilities for alcohol use disorders,RSUD_370,Kenya,KEN,2014,,No data,,In other major cities,Total,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,1993,9.447057934,9.4,[7.5-11.8],Female,Urban,Total
Tobacco Offer help: O2 Availability of tobacco cessation medications,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Kenya,KEN,2008,,Yes,,Bupropion - legally sold,Rural,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2011,2688.38007,2688.4,,Both sexes,Total,Total
Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),GHED_OOPSCHE_SHA2011,Kenya,KEN,2007,36.45011902,36.45,,,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2016,9.8,9.8,[7.6-12.5],12 to 17 months,Urban,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2023,,No,,NCD-related medicines,Total,Total
Domestic general government health expenditure (GGHE-D) per capita in US$,GHED_GGHE-D_pc_US_SHA2011,Kenya,KEN,2000,5.93606644,5.94,,,Total,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2011,11.574,12,[6-16],Both sexes,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,1994,6.1,6.1,[4.6-8.0],Female,Rural,Total
"Tobacco Enforce bans: E3 indirect advertising, additional bans",TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,Kenya,KEN,2007,,Yes,,Ban on product display at point of sale,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2000,44.8,44.8,[41.3-48.3],Q3,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2016,2.4,2.4,[1.4-4.0],Female,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2005,10.1,10.1,[7.6-13.3],12 to 17 months,Total,Total
Number of infant deaths,CM_02,Kenya,KEN,2002,33288,33 288,[30 832-35 817],Female,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2017,12149.58147,12149.6,,Both sexes,Urban,Total
Tobacco Raise taxes: National taxes for tobacco and nicotine products,TOBACCO_MPOWER_R_TAX,Kenya,KEN,2016,38.46,38.46,,Excise tax proportion of price,Rural,Total
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),WHOSIS_000004,Kenya,KEN,2005,437.7540425,438,,Female,Total,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,1996,11.00482851,11.0,[9.0-13.4],Female,Total,Total
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),GHED_GGHE-DGGE_SHA2011,Kenya,KEN,2020,8.91046047,8.91,,,Urban,Total
"Prevalence of diabetes, crude",NCD_DIABETES_PREVALENCE_CRUDE,Kenya,KEN,2022,4.2902716,4.3,[2.0-8.0],Both sexes,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2002,1.2,1.2,[0.1 - 4.3],Urban,Total,Total
Special treatment programmes for gambling disorder,RSUD_650,Kenya,KEN,2014,,No,,In other areas,Urban,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2007,,Yes,,Health warnings on smokeless tobacco packaging law requires or establishes fines for violations,Rural,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2016,5,5.0,[4.1-6.0],12 to 59 months,Total,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2009,7.0870735,7.1,[2.8-14.3],Male,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2016,9.1,9.1,[6.1-13.2],Male,Urban,Total
Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),WHS8_110,Kenya,KEN,2000,78,78,,,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,1993,2.5,2.5,[1.3-4.8],42 to 47 months,Total,Total
Exclusive breastfeeding under six months,NUT_BF_EBF,Kenya,KEN,2014,59.8,59.8,[53.6-65.8],Primary,Urban,Total
Household and ambient air pollution attributable DALYs,AIR_60,Kenya,KEN,2013,604617.316,604 617,[524 931-677 027],Male,Rural,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,2022,6325,6325,[3809-9981],Male,Total,Total
Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Kenya,KEN,2008,94.2,94.2,[86.9 - 98.3],Total,Total,Total
Tobacco Warning: W3 anti-tobacco mass-media campaigns,TOBACCO_MPOWER_W3_MASSMEDIA,Kenya,KEN,2014,,. . .,,At least one national mass media campaign ran during the survey period,Urban,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2021,,Yes,,"Policies, strategies and plans",Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2022,1.4,1.4,[0.6-2.9],36 to 47 months,Total,Total
Joint effects of air pollution attributable deaths,AIR_35,Kenya,KEN,2014,2410.029,2410,[1836-2882],Male,Urban,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2011,151.733,152,[129-177],Male,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,1994,50.3,50.3,[44.0-56.6],Female,Total,Total
Mortality rate attributed to unintentional poisoning (per 100 000 population),SDGPOISON,Kenya,KEN,2002,1.012553977,1.0,[0.7-1.5],Female,Total,Total
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),WHOSIS_000004,Kenya,KEN,2017,296.6985633,297,,Male,Urban,Total
Tobacco Warning: W1c smokeless tobacco packaging health warnings,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,Kenya,KEN,2022,,Yes,,Health warnings on smokeless tobacco packaging must include a photograph or graphic,Total,Total
Mortality rate attributed to unintentional poisoning (per 100 000 population),SDGPOISON,Kenya,KEN,2006,1.854220171,1.9,[1.3-2.6],Both sexes,Total,Total
Recommendations for screening and brief interventions for substance use in primary health care,RSUD_550,Kenya,KEN,2014,,Yes,,Alcohol,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1995,0.1,0.1,[0 - 0.7],Rural,Rural,Total
"Mean HDL cholesterol, crude",NCD_CHOL_MEANHDL_C,Kenya,KEN,1985,1.1,1.1,[0.9-1.3],Male,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2014,3.6,3.6,[2.0-6.1],Female,Total,Total
"Mean HDL cholesterol, age-standardized",NCD_CHOL_MEANHDL_A,Kenya,KEN,1980,1.2,1.2,[0.8-1.5],Female,Urban,Total
Number of infant deaths,CM_02,Kenya,KEN,1986,56618,56 618,[52 962-60 452],Both sexes,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2009,0.81347,0.8,,1-59 months,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2022,6,6.0,[4.0-8.9],Female,Urban,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2012,0.75523,0.8,,1-59 months,Rural,Total
Domestic private health expenditure (PVT-D) per capita in US$,GHED_PVT-D_pc_US_SHA2011,Kenya,KEN,2012,27.90883246,27.91,,,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2017,0,0,,1-59 months,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2003,6.2,6.2,[5.3-7.3],Both sexes,Urban,Total
"Alcohol, consumers past 12 months (%), age-standardized",SA_0000001413,Kenya,KEN,2006,28.6385836,28.6,[26.5 - 30.8],Both sexes,Total,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2014,10.462,10,[7-16],Female,Total,Total
"Population pushed further below the $1.90 a day poverty line by household health expenditures (%, national, rural, urban)",FINPROTECTION_IMP_P190_POP,Kenya,KEN,2005,14.72,14.72,,Adults with older persons,Urban,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2011,15780.576,15 781,[8652-21 842],Female,Rural,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,1990,13.7715174,13.8,[10.4-17.7],Both sexes,Total,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2019,9.949,10,[5-14],Female,Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,1997,0.11152543,0.11,[0 - 0.6],Urban,Urban,Total
Population with primary reliance on polluting fuels and technologies for cooking (in millions),PHE_HHAIR_POP_POLLUTING_FUELS,Kenya,KEN,2000,24.42461605,24.42,[24.03 - 24.55],Rural,Total,Total
"Tobacco Enforce bans: E3 indirect advertising, additional bans",TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,Kenya,KEN,2007,,No,,Ban on internet sales of tobacco products,Total,Total
"Mean total cholesterol,  crude",NCD_CHOL_MEANTOTALCHOL_C,Kenya,KEN,1994,3.7,3.7,[3.3-4.1],Male,Urban,Total
